"","logFC","AveExpr","t","P.Value","adj.P.Val","B","X","UNIPROT"
"Q9H1E3",-3.49878250866252,21.6771051719613,-15.1655134146275,7.91220807708758e-06,0.000124523085390551,4.61876995913708,"Q9H1E3","Q9H1E3"
"Q53FA7",-5.08323091602485,23.2730384992851,-15.1179324847891,8.05230113380006e-06,0.000124523085390551,4.60108017517716,"Q53FA7","Q53FA7"
"P08648",2.13903065606427,24.0068720814223,14.9402241433768,8.60186950657522e-06,0.000130688052503406,4.53440490889045,"P08648","P08648"
"Q9H5V8",2.8390361850687,24.2070114002845,14.7814171704499,9.13047638515679e-06,0.000134140183718358,4.47399976129996,"Q9H5V8","Q9H5V8"
"Q969X1",-2.18948245756648,24.5312098122788,-14.771441563394,9.16493259425308e-06,0.000134140183718358,4.47017911729548,"Q969X1","Q969X1"
"P10909",-2.54695818116839,22.5763057387916,-14.7345245985999,9.29377716293477e-06,0.000134140183718358,4.45601277226201,"P10909","P10909"
"P98088",3.83745119135521,23.8548083269108,14.6730175388616,9.51318729530069e-06,0.000135056068815252,4.43231481889924,"P98088","P98088"
"P07203",-2.66922096401197,22.4017606906764,-14.3542774670515,1.07522543933487e-05,0.000150184714590967,4.3075634847023,"P07203","P07203"
"Q96FQ6",-3.77891742672005,26.8403688452499,-14.3063485895063,1.09544973369872e-05,0.000150580868156046,4.28851781715735,"Q96FQ6","Q96FQ6"
"O00468",2.97574090601907,24.7918623832282,14.1986414066321,1.1425461987644e-05,0.000154600782520307,4.24543894991323,"O00468","O00468"
"P11047",2.1503320550259,23.9982720237531,14.1536368767174,1.16292474449809e-05,0.000154937358266977,4.22732353510268,"P11047","P11047"
"P24534",4.10531014139189,22.8894692864961,14.0694348805571,1.20220690289614e-05,0.00015542698456787,4.19324593331274,"P24534","P24534"
"P00918",-4.14459021776096,23.1793037167718,-14.0688289847612,1.20249514619484e-05,0.00015542698456787,4.19299984479904,"P00918","P00918"
"P29966",2.42455740991793,27.5204878816508,13.9847957289101,1.2432679865158e-05,0.000157989556201923,4.15874724763099,"P29966","P29966"
"P06702",-4.8102987477412,23.5409498995304,-13.9536126435821,1.25880824225551e-05,0.000157989556201923,4.14597489003163,"P06702","P06702"
"Q5JWF2;P63092;P38405",3.56773556671077,24.5406387640652,13.8575823923545,1.30811388367685e-05,0.000160682799214974,4.10642932098086,"Q5JWF2;P63092;P38405","Q5JWF2"
"Q71UI9;P0C0S5",4.43361611115072,23.2565488368459,13.8254652588559,1.32510614950868e-05,0.000160682799214974,4.0931313823716,"Q71UI9;P0C0S5","Q71UI9"
"P62805",4.15574860143037,26.1081554976604,13.8052557618374,1.33593089416607e-05,0.000160682799214974,4.08474512732623,"P62805","P62805"
"P13688",-4.66819359907985,23.1289882728013,-13.7121341670888,1.38716651293661e-05,0.00016455975345248,4.0459159336891,"P13688","P13688"
"Q8NFJ5",-4.54309176581573,27.6954737750443,-13.6355780917435,1.43101675230771e-05,0.000165249161826686,4.01376223929774,"Q8NFJ5","Q8NFJ5"
"P61769",2.26227011810693,26.207124214271,13.635363888748,1.43114170173227e-05,0.000165249161826686,4.01367197799939,"P61769","P61769"
"P05121",3.00252121941416,22.7786129792754,13.4729150625192,1.52969079277344e-05,0.000174304240334447,3.9447390714595,"P05121","P05121"
"Q99828",-4.82737863531417,23.3624198984889,-13.4056613478599,1.57280085384059e-05,0.00017688903109428,3.9159175883413,"Q99828","Q99828"
"P05026",2.06850491126392,26.6592989717562,13.3498688853177,1.60964623379338e-05,0.000178712004931419,3.89188037550694,"P05026","P05026"
"P24821",2.8517675085756,22.6413889271672,13.3185053554249,1.630802059105e-05,0.000178768934580371,3.87831686667838,"P24821","P24821"
"Q08380",2.54224420958469,27.7808357349938,13.2540976280915,1.67527638788853e-05,0.000181348668988934,3.85034701428571,"Q08380","Q08380"
"O15230",2.9515834515405,24.5219849378627,13.2004984412851,1.71337227793618e-05,0.000183182764529967,3.8269511795571,"O15230","O15230"
"Q7LBR1",-3.72874717920745,23.1193464643362,-13.0934525591725,1.79253284964378e-05,0.000187499790107089,3.77989738829708,"Q7LBR1","Q7LBR1"
"P80723",2.0592256880703,26.6665692282887,13.087507283345,1.79705341557603e-05,0.000187499790107089,3.77727111105206,"P80723","P80723"
"O43633",-3.37608947437985,23.1742952259858,-12.8315239740269,2.00497642742644e-05,0.000206240126660616,3.66288076744069,"O43633","O43633"
"P21333",3.50923516439357,24.9801746418855,12.809327688341,2.0242968552139e-05,0.000206240126660616,3.65283967465607,"P21333","P21333"
"P11166",4.48558043235053,23.674510977668,12.7052829705804,2.11781615394666e-05,0.000213259161548583,3.60550760384696,"P11166","P11166"
"P06756",2.30490813666285,24.1533621636693,12.6458057407729,2.17354501955019e-05,0.000216355170911548,3.57825263176073,"P06756","P06756"
"P62987;P62979;P0CG47;P0CG48",-2.12600550544825,29.0323436089313,-12.5932965902162,2.2241752422142e-05,0.000218879063608807,3.55407012384019,"P62987;P62979;P0CG47;P0CG48","P62987"
"P58546",-2.97795885086456,22.9302214229277,-12.5534932356995,2.263474943151e-05,0.000220243741659412,3.53566325648147,"P58546","P58546"
"Q9NX76",2.89042895342288,23.3570294767766,12.4128682070107,2.40897702042019e-05,0.000231797122187098,3.47010244531371,"Q9NX76","Q9NX76"
