"Symbol","degree","betweenness"
"ACTB",104,2978.78738973523
"AGRN",10,0.333333333333333
"ARHGDIA",4,0
"ARPC2",6,0.95
"ARPC5",4,0
"B2M",2,0
"BSG",4,0
"CALM1",10,1.49166666666667
"CALM2",8,0.25
"CALM3",16,63.0993769302593
"CD36",14,95
"CD44",32,208.434558215509
"CD47",12,0
"CD9",18,8.94920634920635
"CFL1",14,55.5711245573395
"DDX3X",4,0
"DIAPH1",8,0
"DYNC1H1",10,101.02380952381
"EIF4A2",6,0.5
"EIF4B",4,0
"FMNL1",4,0
"FN1",36,301.48716075686
"GNB1",6,6.14855275443511
"GRB2",10,45.9329684375512
"H2AX",54,188.097285067873
"H2AZ2",52,0.196108597285068
"H3-3A",50,0
"H3-3B",54,2.43498907741737
"H3C1",60,31.1760393118159
"H3C10",58,2.95943100803577
"H3C11",58,2.95943100803577
"H3C12",58,2.95943100803577
"H3C2",58,2.95943100803577
"H3C3",58,2.95943100803577
"H3C4",58,2.95943100803577
"H3C6",58,2.95943100803577
"H3C7",58,2.95943100803577
"H3C8",58,2.95943100803577
"H4C1",58,2.95943100803577
"H4C11",58,2.95943100803577
"H4C12",58,2.95943100803577
"H4C13",58,2.95943100803577
"H4C14",58,2.95943100803577
"H4C15",58,2.95943100803577
"H4C2",58,2.95943100803577
"H4C3",58,2.95943100803577
"H4C4",58,2.95943100803577
"H4C5",58,2.95943100803577
"H4C6",62,174.390325026102
"H4C8",58,2.95943100803577
"H4C9",58,2.95943100803577
"HNRNPD",12,630.628735863619
"HSPA2",2,0
"HSPG2",16,5.62285898855666
"ITGA2",22,35.6218145321771
"ITGA3",20,29.9531443135068
"ITGA6",22,30.2864776468401
"ITGAV",32,210.265510596461
"ITGB1",36,253.391628922579
"ITGB4",22,130.628560563923
"JUP",2,0
"KPNA2",2,0
"LAMB2",16,0.333333333333333
"LAMC1",18,1.78253968253968
"MAPK1",12,142.939253883371
"MCAM",4,1.40725108225108
"MFGE8",4,0
"MYH9",14,199.494337144337
"MYO1C",12,141.297437133652
"NPM1",16,149.658097839962
"NRAS",10,31.3794082345484
"NUDC",4,3.61904761904762
"PABPC1",12,279.5
"PCBP2",6,0
"PFN1",14,49.4394192256342
"PPP2R1A",2,0
"PTBP1",8,2.5
"PTGES3",8,26.1190476190476
"RAB7A",6,0
"RAD23A",2,0
"RAN",6,95
"RHOA",30,383.669891367871
"RHOC",14,71.0295454545454
"RUVBL1",60,190.629818669713
"RUVBL2",56,130.514386836521
"S100A9",2,0
"SDC1",14,4.87380952380952
"SDC4",6,0
"SPTAN1",8,1.24166666666667
"STIP1",8,95
"TAX1BP3",2,0
"TPM4",4,6.29484126984127
"TUBA1A",8,30.2380952380952
"TUBA1B",8,30.2380952380952
"TWF1",6,1
"U2AF2",4,0
"UBE2N",4,95
