"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"R-HSA-195721","Signaling by WNT",79,0.606366458442086,1.94648658158954,4.62329787048225e-06,2.52646883629384e-05,1.77459918260935e-05,237,"tags=52%, list=27%, signal=42%","3014/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/1213/8338/1211/5705/5528/2787/387/5216/5518/5880/126961/333932/653604/2782/8350/8351/8352/8353/8354/8355/8356/8357/8358/8968/857"
"R-HSA-157118","Signaling by NOTCH",59,0.647534287006746,1.9878916841282,5.17446156803658e-06,2.79938370830779e-05,1.9662953958539e-05,74,"tags=31%, list=8%, signal=30%","3014/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/8338/1956"
"R-HSA-446728","Cell junction organization",80,0.595235165063143,1.92845587784996,8.0238653250986e-06,4.29793182265183e-05,3.01888002330442e-05,87,"tags=31%, list=10%, signal=31%","3014/3688/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/2316/3691/8338/821/3655/5817/977/87"
"R-HSA-1500931","Cell-Cell communication",87,0.575032148573018,1.87086414676731,9.57820027930207e-06,5.08020230500237e-05,3.56834912366156e-05,87,"tags=29%, list=10%, signal=29%","3014/3688/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/2316/3691/8338/821/3655/5817/977/87"
"R-HSA-1280218","Adaptive Immune System",138,0.515570338571297,1.7821591595711,1.00537631519819e-05,5.28066588856524e-05,3.70915533762438e-05,148,"tags=30%, list=17%, signal=29%","3014/3688/3383/7322/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/567/3685/3105/1213/8338/3122/821/1211/5817/9341/3693/3309/3106/10376/5908/5705/5528/975/7846/7415/84790/10383"
"R-HSA-69481","G2/M Checkpoints",43,0.704011119998713,2.05981037466365,1.03731852382415e-05,5.39605116720063e-05,3.79020229858824e-05,46,"tags=35%, list=5%, signal=35%","3014/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313"
"R-HSA-597592","Post-translational protein modification",163,0.486180132379603,1.71351956626204,1.07375538328189e-05,5.53239678433812e-05,3.88597186330589e-05,179,"tags=31%, list=20%, signal=30%","2335/7076/7322/440689/4241/4586/3915/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/3371/3105/8338/4240/821/8775/9230/7057/10376/1984/7184/4218/5705/3490/3913/7846/4869/7415/84790/3956/10383/1915/11315/10540/378/5870/387/5861/81876"
"R-HSA-418990","Adherens junctions interactions",66,0.617726341936985,1.93429115844639,1.28021717813223e-05,6.53393861669373e-05,4.58945780839855e-05,78,"tags=29%, list=9%, signal=28%","3014/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/8338/821/5817"
"R-HSA-3000170","Syndecan interactions",14,0.867815639476608,1.96898277262959,1.3438287062887e-05,6.79449841216995e-05,4.77247577934303e-05,121,"tags=86%, list=14%, signal=75%","2335/3673/3688/3690/3371/3685/3691/3655/87/3693/7057/6385"
"R-HSA-9918481","Dengue Virus-Host Interactions",58,0.628341998196136,1.92074071049631,1.61310182863094e-05,8.08044527119759e-05,5.67572865629406e-05,64,"tags=33%, list=7%, signal=33%","7431/440689/375790/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/3339/8338"
