"UNIPROT","Symbol","logFC","adj.P.Val","degree","betweenness","CDS","rank_base","rank_sd","rank_min","rank_max","robustness_label","Symbol_biomat","Protein_Description","GO_BP","GO_CC","GO_MF","Theme_Vesicle_Trafficking","Theme_Motility_Signaling","Theme_Cell_Adhesion","Theme_Immune_Evasion","Num_Themes_Match","Localization","PubMed_hits"
"P06756","ITGAV",2.30490813666285,0.000216355170911548,32,210.265510596461,0.556693589287674,10,0.79,9,12,"robust_candidate","ITGAV","integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]","cell adhesion; angiogenesis; calcium ion transmembrane transport; integrin-mediated signaling pathway; cell adhesion mediated by integrin; negative chemotaxis; tissue development; symbiont entry into host cell; cell-matrix adhesion; heterotypic cell-cell adhesion; formation of primary germ layer; apoptotic cell clearance; cell-substrate adhesion; positive regulation of cell population proliferation; blood vessel development; vasculogenesis; positive regulation of cytosolic calcium ion concentration; cell migration; positive regulation of cell migration; positive regulation of osteoblast proliferation; transforming growth factor beta production; extrinsic apoptotic signaling pathway in absence of ligand; cell-cell adhesion; positive regulation of intracellular signal transduction; substrate adhesion-dependent cell spreading; negative regulation of low-density lipoprotein particle clearance; endodermal cell differentiation; positive regulation of cell adhesion; negative regulation of extrinsic apoptotic signaling pathway; negative regulation of lipid transport; wound healing, spreading of epidermal cells; negative regulation of lipoprotein metabolic process; regulation of phagocytosis; positive regulation of small GTPase mediated signal transduction; entry into host cell by a symbiont-containing vacuole; negative regulation of entry of bacterium into host cell","integrin complex; plasma membrane; membrane; cytosol; focal adhesion; lamellipodium membrane; filopodium membrane; anchoring junction; integrin alphav-beta6 complex; microvillus membrane; integrin alphav-beta3 complex; integrin alphav-beta5 complex; specific granule membrane; alphav-beta3 integrin-PKCalpha complex; alphav-beta3 integrin-HMGB1 complex; integrin alphav-beta1 complex; phagocytic vesicle; integrin alphav-beta8 complex; alphav-beta3 integrin-IGF-1-IGF1R complex","metal ion binding; protein binding; integrin binding; virus receptor activity; protease binding; fibronectin binding; coreceptor activity; extracellular matrix binding; signaling receptor activity; opsonin binding; protein kinase C binding; signaling receptor binding; C-X3-C chemokine binding; neuregulin binding; transforming growth factor beta binding; extracellular matrix protein binding",TRUE,TRUE,TRUE,FALSE,3,"membrane",5
"P07737","PFN1",1.07587436041013,0.0312193034731491,14,49.4394192256342,0.298985541414861,34,0.55,33,35,"robust_candidate","PFN1","profilin 1 [Source:HGNC Symbol;Acc:HGNC:8881]","actin cytoskeleton organization; regulation of actin filament organization; protein stabilization; positive regulation of actin filament polymerization; positive regulation of epithelial cell migration; negative regulation of stress fiber assembly; positive regulation of ruffle assembly; regulation of actin filament polymerization; positive regulation of actin filament bundle assembly; neural tube closure; regulation of transcription by RNA polymerase II; negative regulation of actin filament bundle assembly; modulation of chemical synaptic transmission; synapse maturation","nucleus; cytoplasm; membrane; cytoskeleton; focal adhesion; cell cortex; cytosol; blood microparticle; glutamatergic synapse","actin binding; RNA binding; protein binding; phosphotyrosine residue binding; cadherin binding; actin monomer binding; phosphatidylinositol-4,5-bisphosphate binding; adenyl-nucleotide exchange factor activity; small GTPase binding",FALSE,TRUE,TRUE,FALSE,2,"intracellular",2
"P08134","RHOC",1.27506274532785,0.00334945325671794,14,71.0295454545454,0.355872335832977,27,0.73,25,28,"robust_candidate","RHOC","ras homolog family member C [Source:HGNC Symbol;Acc:HGNC:669]","small GTPase-mediated signal transduction; mitotic cytokinesis; positive regulation of cell migration; wound healing, spreading of cells; skeletal muscle satellite cell migration; positive regulation of canonical NF-kappaB signal transduction; signal transduction; regulation of actin cytoskeleton organization; actin filament organization; cell migration; positive regulation of protein-containing complex assembly; positive regulation of stress fiber assembly; apical junction assembly; positive regulation of lipase activity","plasma membrane; membrane; cytosol; endoplasmic reticulum membrane; nucleus","GTPase activity; GTP binding; nucleotide binding; protein binding; protein kinase binding",FALSE,TRUE,TRUE,TRUE,3,"membrane",1
"P0DP25","CALM3",-0.34421792054308,0.235988097217771,16,63.0993769302593,0.211276464348143,44,0.49,44,46,"robust_candidate","CALM3","calmodulin 3 [Source:HGNC Symbol;Acc:HGNC:1449]","G protein-coupled receptor signaling pathway; detection of calcium ion; regulation of heart rate; regulation of cytokinesis; long-term synaptic potentiation; calcineurin-mediated signaling; regulation of cell communication by electrical coupling involved in cardiac conduction; G2/M transition of mitotic cell cycle; regulation of calcium-mediated signaling; response to amphetamine; response to corticosterone; establishment of protein localization to membrane; establishment of protein localization to mitochondrial membrane; presynaptic endocytosis; regulation of synaptic vesicle endocytosis; negative regulation of calcium ion export across plasma membrane; regulation of synaptic vesicle exocytosis; substantia nigra development; regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum; regulation of cardiac muscle contraction; response to calcium ion; regulation of cardiac muscle cell action potential; negative regulation of high voltage-gated calcium channel activity","nucleus; cytoplasm; plasma membrane; cytoskeleton; vesicle; spindle; centrosome; spindle pole; sarcomere; mitochondrion; calcium channel complex; spindle microtubule; synaptic vesicle membrane; mitochondrial membrane; calyx of Held; membrane; growth cone; myelin sheath; sperm midpiece; voltage-gated potassium channel complex; protein-containing complex; catalytic complex","calcium ion binding; metal ion binding; kinase activity; protein binding; protein kinase binding; protein phosphatase activator activity; protein serine/threonine kinase activator activity; titin binding; protein domain specific binding; nitric-oxide synthase regulator activity; type 3 metabotropic glutamate receptor binding; phosphatidylinositol 3-kinase binding; transmembrane transporter binding; calcium-dependent protein binding; nitric-oxide synthase binding; transporter inhibitor activity; calcium channel regulator activity; adenylate cyclase binding",TRUE,FALSE,FALSE,TRUE,2,"membrane",2
"P11047","LAMC1",2.1503320550259,0.000154937358266977,18,1.78253968253968,0.469201209712569,17,0.89,16,19,"robust_candidate","LAMC1","laminin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:6492]","cell adhesion; tissue development; maintenance of blood-brain barrier; cell migration; substrate adhesion-dependent cell spreading; endoderm development; protein-containing complex assembly; positive regulation of epithelial cell proliferation; positive regulation of cell adhesion; positive regulation of muscle cell differentiation; regulation of basement membrane organization; positive regulation of integrin-mediated signaling pathway; extracellular matrix disassembly; hemidesmosome assembly","extracellular region; extracellular space; basement membrane; extracellular matrix; laminin-1 complex; laminin-10 complex; endoplasmic reticulum lumen; laminin-11 complex; protein complex involved in cell-matrix adhesion","extracellular matrix structural constituent; extracellular matrix constituent conferring elasticity",FALSE,TRUE,TRUE,FALSE,2,"extracellular",6
"P11940","PABPC1",0.517935421774801,0.174880670574225,12,279.5,0.227597441788642,43,0,43,43,"robust_candidate","PABPC1","poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]","mRNA splicing, via spliceosome; RNA splicing; mRNA processing; regulatory ncRNA-mediated gene silencing; negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay; positive regulation of nuclear-transcribed mRNA poly(A) tail shortening; positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay; mRNA stabilization; positive regulation of viral genome replication; CRD-mediated mRNA stabilization; negative regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay; positive regulation of cytoplasmic translation","nucleus; spliceosomal complex; cytoplasm; membrane; cell projection; focal adhesion; lamellipodium; ribonucleoprotein complex; cell leading edge; cytosol; catalytic step 2 spliceosome; cytoplasmic ribonucleoprotein granule; mCRD-mediated mRNA stability complex","RNA binding; nucleic acid binding; protein binding; mRNA 3'-UTR binding; poly(A) binding; poly(U) RNA binding; mRNA binding; translation activator activity",FALSE,FALSE,TRUE,FALSE,1,"intracellular",7
"P14923","JUP",-2.21089909884426,0.0014388081177562,2,0,0.30403620264859,33,1.64,32,38,"weight_sensitive_candidate","JUP","junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]","cell adhesion; positive regulation of angiogenesis; cell-cell adhesion; detection of mechanical stimulus; cellular response to indole-3-methanol; protein localization to plasma membrane; positive regulation of transcription by RNA polymerase II; desmosome assembly; canonical Wnt signaling pathway; positive regulation of cell-matrix adhesion; regulation of cell population proliferation; cell migration; regulation of heart rate by cardiac conduction; positive regulation of canonical Wnt signaling pathway; negative regulation of blood vessel endothelial cell migration; bundle of His cell-Purkinje myocyte adhesion involved in cell communication; regulation of ventricular cardiac muscle cell action potential; skin development","cytoplasm; nucleus; plasma membrane; membrane; cytoskeleton; focal adhesion; anchoring junction; extracellular region; cell-cell junction; adherens junction; catenin-TCF7L2 complex; desmosome; cytosol; ficolin-1-rich granule lumen; specific granule lumen; cytoplasmic side of plasma membrane; cornified envelope; intercalated disc; zonula adherens; protein-DNA complex; gamma-catenin-TCF7L2 complex; intermediate filament; Z disc","protein binding; cadherin binding; protein phosphatase binding; protein homodimerization activity; transcription coactivator activity; nuclear receptor binding; cell adhesion molecule binding; structural molecule activity; alpha-catenin binding; cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication; cytoskeletal protein-membrane anchor activity",FALSE,TRUE,TRUE,FALSE,2,"extracellular",1
"P16070","CD44",1.70946175156405,0.000708128751407232,32,208.434558215509,0.483750355293662,16,0.77,14,18,"robust_candidate","CD44","CD44 molecule (IN blood group) [Source:HGNC Symbol;Acc:HGNC:1681]","cell adhesion; negative regulation of apoptotic process; cell migration; regulation of apoptotic process; cytokine-mediated signaling pathway; anatomical structure morphogenesis; system development; cell-cell adhesion; cartilage development; T cell activation; positive regulation of heterotypic cell-cell adhesion; cell-matrix adhesion; inflammatory response; wound healing, spreading of cells; cellular response to fibroblast growth factor stimulus; negative regulation of DNA damage response, signal transduction by p53 class mediator; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator; hyaluronan catabolic process; regulation of lamellipodium morphogenesis; positive regulation of monocyte aggregation","membrane; extracellular region; plasma membrane; cell projection; cytosol; Golgi apparatus; focal adhesion; lamellipodium membrane; protein-containing complex; microvillus; secretory granule membrane; macrophage migration inhibitory factor receptor complex","hyaluronic acid binding; protein binding; transmembrane signaling receptor activity; collagen binding; cytokine receptor activity",FALSE,TRUE,TRUE,TRUE,3,"extracellular",200
"P16144","ITGB4",1.98351511288602,0.000273634882900169,22,130.628560563923,0.494733180643667,14,0.72,13,15,"robust_candidate","ITGB4","integrin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6158]","cell communication; cell-matrix adhesion; integrin-mediated signaling pathway; hemidesmosome assembly; cell motility; autophagy; cell adhesion; mesodermal cell differentiation; response to wounding; cell migration; cell-cell adhesion; cell adhesion mediated by integrin; skin morphogenesis; nail development; myelination in peripheral nervous system; filopodium assembly; trophoblast cell migration","membrane; integrin complex; plasma membrane; nuclear membrane; anchoring junction; nucleolus; cell junction; hemidesmosome; cell leading edge; receptor complex; focal adhesion; basement membrane","protein binding; metal ion binding; G protein-coupled receptor binding; integrin binding; neuregulin binding",FALSE,TRUE,TRUE,FALSE,2,"membrane",8
"P16671","CD36",-0.261180305008047,0.613529932435999,14,95,0.18390966611243,50,1.18,47,51,"robust_candidate","CD36","CD36 molecule (CD36 blood group) [Source:HGNC Symbol;Acc:HGNC:1663]","lipid transport; cell adhesion; receptor internalization; positive regulation of NLRP3 inflammasome complex assembly; positive regulation of angiogenesis; sensory perception of taste; triglyceride transport; negative regulation of angiogenesis; energy homeostasis; response to lipid; lipid storage; lipoprotein transport; fatty acid transport; positive regulation of protein localization to plasma membrane; positive regulation of canonical NF-kappaB signal transduction; positive regulation of gene expression; positive regulation of nitric oxide biosynthetic process; positive regulation of reactive oxygen species biosynthetic process; cellular response to amyloid-beta; blood coagulation; positive regulation of cytosolic calcium ion concentration; lipid metabolic process; positive regulation of cell-matrix adhesion; response to fatty acid; long-chain fatty acid import into cell; amyloid fibril formation; fatty acid metabolic process; cellular response to diacyl bacterial lipopeptide; amyloid-beta clearance by cellular catabolic process; receptor-mediated endocytosis; low-density lipoprotein particle clearance; regulation of protein-containing complex assembly; cholesterol transport; phagocytosis, engulfment; cellular response to low-density lipoprotein particle stimulus; long-chain fatty acid transport; long-chain fatty acid import across plasma membrane; short-chain fatty acid transport; cGMP-mediated signaling; intestinal cholesterol absorption; regulation of lipopolysaccharide-mediated signaling pathway; regulation of toll-like receptor signaling pathway; plasma lipoprotein particle clearance; intestinal absorption; response to linoleic acid; regulation of action potential; oxidised low-density lipoprotein particle clearance; lipid transport across blood-brain barrier; MAPK cascade; phagocytosis, recognition; response to bacterium; apoptotic cell clearance; positive regulation of MAPK cascade; defense response to Gram-positive bacterium; positive regulation of phagocytosis, engulfment; positive regulation of macrophage cytokine production; cellular response to bacterial lipopeptide; cellular response to lipopolysaccharide; cellular response to lipoteichoic acid; negative regulation of transcription by RNA polymerase II; cell surface receptor signaling pathway; negative regulation of gene expression; positive regulation of blood coagulation; cellular response to oxidative stress; response to stilbenoid; low-density lipoprotein particle mediated signaling; cellular response to hydroperoxide; regulation of removal of superoxide radicals; positive regulation of blood microparticle formation; positive regulation of reactive oxygen species metabolic process","membrane; extracellular space; plasma membrane; Golgi apparatus; collagen trimer; membrane raft; specific granule membrane; receptor complex; endocytic vesicle membrane; brush border membrane; platelet alpha granule membrane; caveola; phagocytic vesicle; cell periphery; apical part of cell","protein binding; amyloid-beta binding; lipid binding; cargo receptor activity; protein-containing complex binding; low-density lipoprotein particle receptor activity; low-density lipoprotein particle binding; transforming growth factor beta binding; lipoprotein particle binding; long-chain fatty acid transmembrane transporter activity; scavenger receptor activity; short-chain fatty acid transmembrane transporter activity; Toll-like receptor binding; oxidised low-density lipoprotein particle receptor activity; oleate transmembrane transporter activity; high-density lipoprotein particle binding; lipoteichoic acid immune receptor activity",TRUE,FALSE,TRUE,TRUE,3,"extracellular",51
