"","Normal_count","Tumor_count","Pattern"
"P12814;P35609;Q08043",3,3,"Other"
"P12955",3,3,"Other"
"P13489",3,3,"Other"
"P13639;Q15029",3,3,"Other"
"P13688",3,0,"Normal_only_3v0"
"P13726",3,3,"Other"
"P13797;P13796",3,3,"Other"
"P13928",2,0,"Other"
"P13987",3,3,"Other"
"P14174",3,3,"Other"
"P14314",1,2,"Other"
"P14618;P30613",3,3,"Other"
"P14625",3,3,"Other"
"P14868",3,2,"Other"
"P14923",3,3,"Other"
"P15104",3,1,"Other"
"P15121",0,2,"Other"
"P15144",3,1,"Other"
"P15151",0,3,"Tumor_only_3v0"
"P15153",2,3,"Other"
"P15311",3,3,"Other"
"P15531",0,3,"Tumor_only_3v0"
"P15880",3,3,"Other"
"P15924",3,0,"Normal_only_3v0"
"P15941",3,3,"Other"
"P16070",3,3,"Other"
"P16104;Q8IUE6;Q96QV6",3,3,"Other"
"P16144",3,3,"Other"
"P16152",3,3,"Other"
"P16403;P16402;P22492;Q02539",0,3,"Tumor_only_3v0"
"P16949",0,3,"Tumor_only_3v0"
"P16989",3,3,"Other"
"P17096",1,3,"Other"
"P17301",3,3,"Other"
"P17655",3,3,"Other"
"P17931",2,0,"Other"
"P17980",2,3,"Other"
"P17987",3,3,"Other"
"P18084",0,3,"Tumor_only_3v0"
"P18085",3,3,"Other"
"P18124",3,2,"Other"
"P18206",3,3,"Other"
"P18564",3,0,"Normal_only_3v0"
"P18621",3,2,"Other"
"P18669;Q8N0Y7;P15259",3,3,"Other"
"P18827",2,0,"Other"
"P19256",3,3,"Other"
"P19440;A6NGU5;P36268;Q14390;B5MD39",0,3,"Tumor_only_3v0"
"P19623",3,3,"Other"
"P19971",3,1,"Other"
"P20020",3,3,"Other"
"P20073",3,3,"Other"
"P20340;Q9NRW1;Q14964",3,3,"Other"
"P21291",0,3,"Tumor_only_3v0"
"P21333",3,3,"Other"
"P21589",3,3,"Other"
"P21926",3,3,"Other"
"P21980",2,3,"Other"
"P22234",2,3,"Other"
"P22314",3,3,"Other"
"P22413",1,3,"Other"
"P22528",2,0,"Other"
"P35326;P35325;P22532;P22531;Q9BYE4;Q96RM1",3,1,"Other"
"P22626",3,0,"Normal_only_3v0"
"P22735",3,0,"Normal_only_3v0"
"P23229",3,3,"Other"
"P23284",2,2,"Other"
"P23381",1,3,"Other"
"P23396",3,3,"Other"
"P23526",3,3,"Other"
"P23528",3,3,"Other"
"P23588",2,3,"Other"
"P23634;Q01814",3,3,"Other"
"P24534",0,3,"Tumor_only_3v0"
"P24821",0,3,"Tumor_only_3v0"
"P25398",3,3,"Other"
"P25445",3,1,"Other"
"P25786",3,3,"Other"
"P25788",3,3,"Other"
"P25815",3,0,"Normal_only_3v0"
"P26006",3,3,"Other"
"P26022",1,3,"Other"
"P26038;REV__Q9H446",3,3,"Other"
"P26373",3,2,"Other"
"P26447",3,3,"Other"
"P26599;O95758",3,3,"Other"
"P26639",2,3,"Other"
"P26641",3,3,"Other"
"P27105",3,3,"Other"
"P27348",3,3,"Other"
"P27635;Q96L21",3,0,"Normal_only_3v0"
"P27701",3,3,"Other"
"P27824",2,3,"Other"
"P28072",2,2,"Other"
"P28482",3,3,"Other"
"P29034",3,0,"Normal_only_3v0"
"P29317;P54762;P54760;Q15375;Q9UF33;Q06187;P29320;P54764;P29322;P54756",1,3,"Other"
"P29373;P29762",3,0,"Normal_only_3v0"
"P29401",3,3,"Other"
"P29508",3,3,"Other"
"P29692",2,3,"Other"
"P29966",3,3,"Other"
"P29992;O95837;P19086;Q03113",3,3,"Other"
"P30041",3,3,"Other"
"P30044",3,3,"Other"
"P30050",3,3,"Other"
"P30085",3,1,"Other"
"P30086",3,3,"Other"
"P30101",3,3,"Other"
"P30153;P30154",3,3,"Other"
"P30626",2,1,"Other"
"P30740",3,3,"Other"
"P31150",3,3,"Other"
"P31151;Q86SG5",3,0,"Normal_only_3v0"
"P31431",2,3,"Other"
"P31689",3,2,"Other"
"P31944",3,0,"Normal_only_3v0"
"P31946",3,3,"Other"
"P31947",3,3,"Other"
"P31948",3,3,"Other"
"P31949",3,3,"Other"
"P32119",3,3,"Other"
"P32926",3,0,"Normal_only_3v0"
